Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
301,841,V,RhodeIsland,34,39,73,160,162,105,1
301,842,H,Duquesne,40,31,71,1,1.5,-125,85
301,843,V,WestVirginia,30,34,64,10.5,11,-700,6.5
301,844,H,SouthFlorida,27,23,50,126.5,124.5,500,67
301,845,V,Georgia,30,37,67,140,138,360,75
301,846,H,Arkansas,47,42,89,9,9,-450,2
301,847,V,Massachusetts,29,59,88,142,144,190,1.5
301,848,H,LaSalle,46,51,97,4.5,5,-230,77.5
301,849,V,Maryland,34,37,71,146.5,144.5,158,76.5
301,850,H,NCState,33,27,60,4.5,4,-180,3
301,851,V,OregonState,38,31,69,127.5,127.5,107,68.5
301,852,H,Oregon,28,51,79,2,1.5,-127,3.5
301,853,V,Marist,27,45,72,142.5,143,1500,74.5
301,854,H,Niagara,36,44,80,17.5,18,-3000,9
301,855,V,Fairfield,32,37,69,141.5,139,240,75
301,856,H,Rider,41,32,73,6,6.5,-280,1
301,857,V,Siena,35,43,78,8,8,-400,7
301,858,H,Canisius,40,34,74,141,141,325,76
301,859,V,LoyolaMaryland,32,38,70,129,130,280,70
301,860,H,Iona,33,30,63,7.5,7.5,-340,5
301,861,V,Manhattan,33,30,63,1,1,-120,66
301,862,H,St.Peter's,26,40,66,121,121,100,1
301,863,V,MontanaState,23,27,50,138,138,180,1.5
301,864,H,NorthernColorado,36,41,77,5,5,-220,72.5
301,865,V,MichiganState,37,37,74,123,123,115,68.5
301,866,H,Illinois,30,36,66,1,2,-135,3
302,511,V,Villanova,32,45,77,157,156.5,125,82
302,512,H,NotreDame,32,28,60,3,2.5,-145,2
302,513,V,BoiseState,45,59,104,156,156.5,215,84.5
302,514,H,NewMexicoState,42,50,92,6.5,6,-255,5
302,515,V,Baylor,24,33,57,146,146.5,315,76
302,516,H,Texas,35,38,73,7.5,8,-380,2
302,517,V,Furman,30,25,55,133.5,134,575,72
302,518,H,Wofford,35,45,80,11,11.5,-850,6.5
302,519,V,Davidson,37,53,90,14,14,-1400,5.5
302,520,H,Elon,33,45,78,137.5,137.5,925,73.5
302,521,V,TheCitadel,34,40,74,5,6.5,-285,0.5
302,522,H,GeorgiaSouthern,22,31,53,140.5,140,243,72.5
303,717,V,Richmond,34,30,64,131.5,133.5,180,72
303,718,H,CharlotteU,28,34,62,5,4.5,-220,4.5
303,721,V,OhioState,30,30,60,1.5,1,-118,1
303,722,H,Iowa,32,26,58,119,120,-102,67
303,723,V,Virginia,31,26,57,146,147,1075,76
303,724,H,Clemson,32,43,75,15,14.5,-1650,7.5
303,727,V,Cincinnati,29,30,59,3,2.5,-145,67
303,728,H,SouthFlorida,24,46,70,121.5,122.5,125,pk
303,729,V,MichiganState,34,30,64,14,14,-1450,7
303,730,H,IndianaU,27,32,59,133,132.5,950,69
303,731,V,KansasState,38,33,71,154,154,195,81
303,732,H,OklahomaState,41,36,77,5.5,5.5,-235,2.5
303,733,V,Georgetown,31,20,56,6,6,-280,3
303,734,H,St.Johns,29,22,59,130.5,129.5,240,70
303,735,V,FloridaState,40,41,81,139.5,138.5,625,76
303,736,H,Duke,34,50,84,12,12.5,-950,10
303,739,V,WakeForest,25,40,65,1.5,1.5,-125,3
303,740,H,Maryland,32,31,63,151,153,105,78.5
303,741,V,UtahU,34,37,71,136,136,175,73
303,742,H,NewMexico,36,41,77,4.5,4.5,-210,2.5
303,743,V,Auburn,29,48,77,143,143.5,100,2
303,744,H,Alabama,39,34,73,1,1,-120,76
303,745,V,Rutgers,20,20,40,146,147.5,950,74.5
303,746,H,Syracuse,19,51,70,15.5,14,-1450,9
303,747,V,DetroitU,21,22,43,117.5,118,1280,61.5
303,748,H,ClevelandState,23,33,56,17,16,-2100,8
303,749,V,IllinoisChicago,35,38,73,2.5,2,-130,71
303,750,H,YoungstownState,25,43,68,134.5,133.5,110,1
303,751,V,Valparaiso,23,33,56,116,114.5,463,62
